id,type,variable,value
1,TV,2012,38584900000
2,TV,2012,22329900000
3,Radio,2012,16303500000
4,Newspapers,2012,24926500000
5,Magazines,2012,19370500000
6,Other,2012,6516700000
7,Other,2012,16257400000
8,Other,2012,6129000000
9,Pure-play Internet,2012,18858000000
10,Pure-play Internet,2012,9527000000
11,TV,2013,39577100000
12,TV,2013,23318600000
13,Radio,2013,16591300000
14,Newspapers,2013,23503000000
15,Magazines,2013,18927500000
16,Other,2013,6889900000
17,Other,2013,16814000000
18,Other,2013,4486000000
19,Pure-play Internet,2013,21278900000
20,Pure-play Internet,2013,11604600000
21,TV,2014,41064200000
22,TV,2014,23337500000
23,Radio,2014,16165600000
24,Newspapers,2014,21677800000
25,Magazines,2014,17247000000
26,Other,2014,6806000000
27,Other,2014,17327400000
28,Other,2014,4707000000
29,Pure-play Internet,2014,24876600000
30,Pure-play Internet,2014,13573400000
31,TV,2015,41313100000
32,TV,2015,24069000000
33,Radio,2015,16385700000
34,Newspapers,2015,20269200000
35,Magazines,2015,15841800000
36,Other,2015,7282500000
37,Other,2015,17479000000
38,Other,2015,4320000000
39,Pure-play Internet,2015,29233800000
40,Pure-play Internet,2015,17606300000
41,TV,2016,43416800000
42,TV,2016,24023300000
43,Radio,2016,16554800000
44,Newspapers,2016,17802400000
45,Magazines,2016,14306900000
46,Other,2016,7319700000
47,Other,2016,16864500000
48,Other,2016,3758000000
49,Pure-play Internet,2016,33870300000
50,Pure-play Internet,2016,23809300000
51,TV,2017,41835600000
52,TV,2017,24450500000
53,Radio,2017,16712100000
54,Newspapers,2017,16374600000
55,Magazines,2017,13101300000
56,Other,2017,7599100000
57,Other,2017,16266000000
58,Other,2017,3342000000
59,Pure-play Internet,2017,40410100000
60,Pure-play Internet,2017,33094200000
61,TV,2018,42992300000
62,TV,2018,21845600000
63,Radio,2018,15990700000
64,Newspapers,2018,13939500000
65,Magazines,2018,11805400000
66,Other,2018,7714400000
67,Other,2018,16097000000
68,Other,2018,2706000000
69,Pure-play Internet,2018,47610800000
70,Pure-play Internet,2018,42881300000
71,TV,2019,42855800000
72,TV,2019,22143100000
73,Radio,2019,16420500000
74,Newspapers,2019,12346600000
75,Magazines,2019,10798200000
76,Other,2019,8358800000
77,Other,2019,15887600000
78,Other,2019,2118100000
79,Pure-play Internet,2019,54322400000
80,Pure-play Internet,2019,53566500000
81,TV,2020,38024800000
82,TV,2020,14535500000
83,Radio,2020,12085400000
84,Newspapers,2020,8257200000
85,Magazines,2020,8480000000
86,Other,2020,6607600000
87,Other,2020,13401000000
88,Other,2020,1321400000
89,Pure-play Internet,2020,52975500000
90,Pure-play Internet,2020,52238400000
91,TV,2021,40138700000
92,TV,2021,13044100000
93,Radio,2021,11179500000
94,Newspapers,2021,6473200000
95,Magazines,2021,7089400000
96,Other,2021,7083800000
97,Other,2021,13074200000
98,Other,2021,874400000
99,Pure-play Internet,2021,59242400000
100,Pure-play Internet,2021,58418100000
101,TV,2022,40227300000
102,TV,2022,11204300000
103,Radio,2022,10957000000
104,Newspapers,2022,5551800000
105,Magazines,2022,6186500000
106,Other,2022,7296300000
107,Other,2022,12730200000
108,Other,2022,621700000
109,Pure-play Internet,2022,63015900000
110,Pure-play Internet,2022,65325300000
111,TV,2023,40285000000
112,TV,2023,11770200000
113,Radio,2023,10711200000
114,Newspapers,2023,4569300000
115,Magazines,2023,5223000000
116,Other,2023,7515200000
117,Other,2023,12353700000
118,Other,2023,353100000
119,Pure-play Internet,2023,65911300000
120,Pure-play Internet,2023,71117600000
121,TV,2024,40310100000
122,TV,2024,11886600000
123,Radio,2024,10440800000
124,Newspapers,2024,3522900000
125,Magazines,2024,4196200000
126,Other,2024,7740700000
127,Other,2024,11943200000
128,Other,2024,67800000
129,Pure-play Internet,2024,69047000000
130,Pure-play Internet,2024,77548700000
